shape_id,shape_pt_lat,shape_pt_sequence,shape_pt_lon,shape_dist_traveled
001_1,35.876804,621,10.600301,11.67
001_1,35.87658,622,10.600384,11.7
001_1,35.876354,623,10.600466,11.73
001_1,35.876133,624,10.600547,11.76
001_1,35.875908,625,10.600626,11.79
001_1,35.875683,626,10.600694,11.82
001_1,35.87546,627,10.60076,11.85
001_1,35.875233,628,10.600845,11.88
001_1,35.87513,629,10.600885,11.89
001_1,35.874916,630,10.600969,11.91
001_1,35.874702,631,10.601043,11.93
001_1,35.874485,632,10.601117,11.96
001_1,35.874367,633,10.601156,11.97
001_1,35.874245,634,10.601202,11.98
001_1,35.873783,635,10.601398,12.03
001_1,35.87369,636,10.601446,12.04
001_1,35.873623,637,10.601468,12.05
001_1,35.873478,638,10.60151,12.07
001_1,35.873383,639,10.601539,12.08
001_1,35.873287,640,10.601572,12.09
001_1,35.87318,641,10.601608,12.1
001_1,35.87296,642,10.601684,12.13
001_1,35.87284,643,10.601724,12.14
001_1,35.87261,644,10.601809,12.17
001_1,35.872364,645,10.601905,12.2
001_1,35.872128,646,10.602014,12.23
001_1,35.871906,647,10.602125,12.26
001_1,35.871796,648,10.602176,12.27
001_1,35.871582,649,10.602274,12.3
001_1,35.87136,650,10.602366,12.33
001_1,35.87115,651,10.602454,12.35
001_1,35.870945,652,10.602539,12.37
001_1,35.870743,653,10.60263,12.39
001_1,35.87053,654,10.60272,12.42
001_1,35.87031,655,10.602828,12.45
001_1,35.870106,656,10.602972,12.48
001_1,35.869923,657,10.603127,12.5
001_1,35.869762,658,10.603271,12.52
001_1,35.869686,659,10.603336,12.53
001_1,35.869537,660,10.603448,12.55
001_1,35.869385,661,10.603555,12.57
001_1,35.86931,662,10.603618,12.58
001_1,35.869225,663,10.603687,12.59
001_1,35.869026,664,10.603855,12.62
001_1,35.868835,665,10.604002,12.65
001_1,35.868565,666,10.604136,12.68
001_1,35.8685,667,10.60417,12.69
001_1,35.86844,668,10.604194,12.7
001_1,35.868374,669,10.604224,12.71
001_1,35.86822,670,10.604292,12.73
001_1,35.868153,671,10.60434,12.74
001_1,35.86804,672,10.604456,12.76
001_1,35.867996,673,10.604519,12.77
001_1,35.86792,674,10.604637,12.78
001_1,35.86788,675,10.604689,12.79
001_1,35.86781,676,10.604793,12.8
001_1,35.867775,677,10.604846,12.81
001_1,35.867714,678,10.604938,12.82
001_1,35.867657,679,10.604997,12.83
001_1,35.86762,680,10.605029,12.84
001_1,35.867535,681,10.60511,12.85
001_1,35.867428,682,10.605213,12.87
001_1,35.86729,683,10.60535,12.89
001_1,35.867203,684,10.605439,12.9
001_1,35.867035,685,10.605633,12.93
001_1,35.86686,686,10.605837,12.96
001_1,35.86677,687,10.605932,12.97
001_1,35.866592,688,10.606102,13
